original_line_number,description,length
2458,создай класс URL,16++++++++++++++++++
2936,создай класс ID,19+++++++++++++++++++
2365,напиши класс Date для даты с днем месяцем и годом,21--------------------
2379,напиши класс Weight для веса в килограммах,21+++++++++++++++++++++
2380,создай класс для угла,21--------------------
2399,напиши класс для роли,21--------------------
2438,создай класс Theme для темы,21++++++++++++++++++++
2443,напиши класс Menu для меню,21+++++++++++++++++++
2463,напиши класс Cookie для куки (cookies),21++++++++++++++++++++
2482,создай класс Hash для хэша (hash),21+++++++++++++++++++
2491,создай класс Log для логов (logs),21+++++++++++++++++++
2827,создай класс HasSize с применением SFINAE,21+++++++++++++++++++
2895,напиши класс Person с применением mem_fn,21+++++++++++++++++++
2917,напиши класс для даты,21--------------------
2930,создай класс для веса,21--------------------
2951,создай класс для роли,21--------------------
2376,напиши класс для денег,22--------------------
2382,напиши класс для флага,22--------------------
2385,создай класс Name для имени,22++++++++++++++++++++
2396,напиши класс Key для ключа,22++++++++++++++++++++
2420,создай класс Label для метки,22++++++++++++++++++++
2431,напиши класс Folder для папки,22++++++++++++++++++++
2434,напиши класс Video для видео,22++++++++++++++++++++
2435,создай класс Audio для аудио,22++++++++++++++++++++
2437,напиши класс Style для стиля,22+++++++++++++++++++++
2475,напиши класс Host для хоста (host),22+++++++++++++++++++++
2612,напиши класс для круга,22------------------------
2664,напиши класс для круга,22------------------------
2911,напиши класс для книги,22------------------------
2914,напиши класс для круга,22------------------------
2920,напиши класс для цвета,22------------------------
2923,напиши класс для email,22------------------------
2927,создай класс Money для денег,22+++++++++++++++++++++
2933,создай класс Flag для флага,22++++++++++++++++++++++
2948,создай класс Key для ключа,22----------------------
2370,напиши класс для адреса,23---------------------
2394,создай класс Session для сессии,23+++++++++++++++++++++
2397,создай класс Password для пароля,23+++++++++++++++++++++
2400,создай класс Group для группы,23+++++++++++++++++++++
2402,напиши класс Department для отдела,23+++++++++++++++++++++
2407,напиши класс Order для заказа,23+++++++++++++++++++++
2410,напиши класс Error для ошибки,23+++++++++++++++++++++
2414,создай класс Review для отзыва,23+++++++++++++++++++++
2417,создай класс Answer для ответа,23+++++++++++++++++++++
2418,реализуй класс Tag для тега (tag),23+++++++++++++++++++++
2423,создай класс Search для поиска,23+++++++++++++++++++++
2429,создай класс Row для строки,23++++++++++++++++++++
2440,напиши класс Button для кнопки,23+++++++++++++++++++++
2449,напиши класс Section для секции,23+++++++++++++++++++++
2460,напиши класс Login для логина (login),23+++++++++++++++++++
2461,создай класс для пароля,23-------------------
2472,напиши класс Stream для потока (stream),23+++++++++++++++++++++
2473,создай класс Socket для сокета (socket),23+++++++++++++++++++++
2476,создай класс Domain для домена,23+++++++++++++++++++++
2479,реализуй класс Packet для хранения данных пакета в виде вектора символов,23+++++++++++++++++++
2490,напиши класс Audit для аудита,23+++++++++++++++++++++
2494,создай класс Alert для алерта (alert),23+++++++++++++++++++
2497,создай класс Report для отчета,23+++++++++++++++++++++
2900,реализуй класс FunctionCaller с invoke,23++++++++++++++++++
2921,создай класс для адреса,23-------------------
2931,реализуй класс для угла,23-------------------
2947,напиши класс Token для токена,23++++++++++++++++
2954,создай класс для отдела,23-------------------
2959,напиши класс для заказа,23-------------------
2357,реализуй класс для цвета,24-------------------
2360,реализуй класс для книги,24-------------------
2363,реализуй класс Circle наследующий от Shape с методами вычисления площади и периметра,24------------------
2364,напиши класс Time для времени (часы минуты),24+++++++++++++++++++++
2368,создай класс Vector для вектора,24+++++++++++++++++++
2372,реализуй класс для email,24-------------------
2373,напиши класс Size для размера,24+++++++++++++++++
2374,создай класс Position для позиции,24++++++++++++++++
2381,реализуй класс Counter для подсчета с методами инкремента и получения значения,24++++++++++++++++++
2387,напиши класс Note для заметки,24+++++++++++++++++
2416,напиши класс Question для вопроса,24+++++++++++++++++
2428,напиши класс Column для столбца,24+++++++++++++++++
2430,реализуй класс File для файла,24+++++++++++++++++
2442,реализуй класс Form для формы,24+++++++++++++++++
2451,реализуй класс Block для блока,24+++++++++++++++++
2452,напиши класс Widget для виджета (widget),24+++++++++++++++++
2453,создай класс Plugin для плагина (plugin),24+++++++++++++++++
2474,реализуй класс для порта,24------------------
2478,напиши класс Client для клиента,24+++++++++++++++++
2485,создай класс Signature для подписи,24++++++++++++++++
2496,напиши класс Chart для графика,24+++++++++++++++++
2905,создай класс Vector с применением enable_if,24+++++++++++++++++
2924,создай класс для размера,24-------------------
2937,реализуй класс для имени,24-------------------
2939,создай класс для заметки,24-------------------
2944,напиши класс для профиля,24-------------------
2953,напиши класс для команды,24-------------------
2358,напиши класс для студента,25-------------------
2367,напиши класс для человека,25-------------------
2371,создай класс Phone для телефона,25+++++++++++++++++++
2377,создай класс Percentage для процента,25+++++++++++++++++++
2395,реализуй класс для токена,25-------------------
2403,создай класс для компании,25-------------------
2405,создай класс Contact для контакта,25+++++++++++++++++++
2413,напиши класс Rating для рейтинга,25+++++++++++++++++++
2436,реализуй класс для шрифта,25+++++++++++++++++++++
2446,напиши класс Page для страницы,25++++++++++++++++++++++
